transaction_id,timestamp,amount_gbp,hour_of_day,days_since_last_txn,velocity_1hr,merchant_category,location_match,card_present,account_age_months,prev_fraud_flag,distance_from_home_km,device_match,ip_country_match,is_fraud
TXN0000001,2024-01-01 00:28:46,35.28,7,26,1,utilities,home_city,1,60,0,118.9,1,1,0
TXN0000002,2024-01-01 00:36:54,4.08,6,1,5,luxury_goods,online_only,1,113,0,77.7,1,1,0
TXN0000003,2024-01-01 00:57:41,136.55,9,9,1,restaurant,home_city,1,86,0,67.9,1,0,0
TXN0000004,2024-01-01 01:03:09,113.61,21,3,1,utilities,international,1,47,0,63.4,1,1,0
TXN0000005,2024-01-01 01:04:07,10.65,16,3,2,travel,international,1,40,0,196.4,1,1,0
TXN0000006,2024-01-01 01:08:46,31.51,10,21,1,restaurant,international,1,105,0,158.3,1,1,0
TXN0000007,2024-01-01 01:10:46,34.85,17,24,2,atm_withdrawal,online_only,1,82,0,125.6,1,1,0
TXN0000008,2024-01-01 01:17:00,2499.36,10,4,1,restaurant,domestic,1,63,0,197.5,1,0,0
TXN0000009,2024-01-01 01:20:33,9.07,17,4,1,restaurant,online_only,1,112,0,63.6,1,1,0
TXN0000010,2024-01-01 01:22:07,216.1,12,23,2,online_retail,domestic,0,20,0,155.0,1,1,0
TXN0000011,2024-01-01 01:39:12,81.85,18,16,1,online_retail,home_city,1,12,0,4.7,1,1,0
TXN0000012,2024-01-01 01:44:13,249.4,13,28,1,restaurant,home_city,1,49,0,174.4,0,1,0
TXN0000013,2024-01-01 01:44:32,10.64,15,20,2,grocery,online_only,1,86,0,123.1,0,1,0
TXN0000014,2024-01-01 01:52:28,91.07,11,27,2,restaurant,home_city,1,90,0,199.2,1,1,0
TXN0000015,2024-01-01 01:54:59,163.21,13,22,1,restaurant,home_city,1,97,0,78.8,1,1,0
TXN0000016,2024-01-01 01:57:36,59.72,10,8,2,pharmacy,domestic,1,49,0,195.1,1,1,0
TXN0000017,2024-01-01 02:02:31,20.5,11,6,4,travel,home_city,1,120,0,82.2,1,1,0
TXN0000018,2024-01-01 02:15:16,70.07,8,9,1,restaurant,home_city,1,82,0,3.6,1,1,0
TXN0000019,2024-01-01 02:32:43,13.47,10,28,2,grocery,home_city,1,103,0,98.0,1,1,0
TXN0000020,2024-01-01 02:34:17,66.77,11,16,3,grocery,home_city,1,111,0,75.9,1,1,0
TXN0000021,2024-01-01 02:40:08,64.69,21,22,1,luxury_goods,domestic,1,17,0,93.4,1,1,0
TXN0000022,2024-01-01 02:45:58,155.64,7,18,1,atm_withdrawal,online_only,1,112,0,130.1,1,1,0
TXN0000023,2024-01-01 02:47:14,52.97,12,18,3,grocery,domestic,1,10,0,45.5,1,1,0
TXN0000024,2024-01-01 02:52:47,64.67,12,18,2,restaurant,home_city,1,85,0,163.0,0,1,0
TXN0000025,2024-01-01 02:53:16,365.09,11,22,5,restaurant,home_city,1,37,0,110.4,1,1,0
TXN0000026,2024-01-01 02:57:06,10.39,2,30,1,grocery,online_only,1,66,0,83.5,1,1,0
TXN0000027,2024-01-01 02:57:35,127.35,19,16,1,utilities,online_only,1,81,0,110.9,1,0,0
TXN0000028,2024-01-01 03:01:37,62.66,12,23,1,grocery,home_city,0,89,0,137.4,1,1,0
TXN0000029,2024-01-01 03:02:14,16.6,12,8,1,grocery,domestic,1,11,0,105.6,1,1,0
TXN0000030,2024-01-01 03:02:49,59.63,7,8,2,online_retail,home_city,1,45,0,69.7,0,1,0
